Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
00:00:00,2022-10-10,Monday,13,2,2,24,41,Normal
00:15:00,2022-10-10,Monday,14,1,1,36,52,Normal
00:30:00,2022-10-10,Monday,10,2,2,32,46,Normal
00:45:00,2022-10-10,Monday,15,3,2,30,50,Normal
01:00:00,2022-10-10,Monday,18,4,1,28,51,Normal
01:15:00,2022-10-10,Monday,16,5,2,27,50,Normal
01:30:00,2022-10-10,Monday,14,3,1,29,47,Normal
01:45:00,2022-10-10,Monday,15,2,1,30,48,Normal
06:00:00,2022-10-10,Monday,35,15,5,20,75,High
06:15:00,2022-10-10,Monday,38,18,6,22,84,High
06:30:00,2022-10-10,Monday,40,20,5,21,86,High
06:45:00,2022-10-10,Monday,42,22,6,23,93,Heavy
07:00:00,2022-10-10,Monday,50,25,8,24,107,Heavy
07:15:00,2022-10-10,Monday,55,28,9,25,117,Heavy
07:30:00,2022-10-10,Monday,58,30,10,26,124,Heavy
07:45:00,2022-10-10,Monday,60,32,9,27,128,Heavy
08:00:00,2022-10-10,Monday,65,35,12,28,140,Heavy
08:15:00,2022-10-10,Monday,68,36,13,29,146,Heavy
08:30:00,2022-10-10,Monday,70,38,12,30,150,Heavy
08:45:00,2022-10-10,Monday,72,40,14,31,157,Heavy
12:00:00,2022-10-10,Monday,45,18,8,20,91,High
12:15:00,2022-10-10,Monday,48,20,7,22,97,High
12:30:00,2022-10-10,Monday,50,21,8,21,100,High
12:45:00,2022-10-10,Monday,52,22,8,20,102,High
17:00:00,2022-10-10,Monday,75,40,15,35,165,Heavy
17:15:00,2022-10-10,Monday,78,42,16,34,170,Heavy
17:30:00,2022-10-10,Monday,80,45,17,36,178,Heavy
17:45:00,2022-10-10,Monday,82,46,18,37,183,Heavy
18:00:00,2022-10-10,Monday,85,48,18,38,189,Heavy
18:15:00,2022-10-10,Monday,88,50,19,39,196,Heavy
18:30:00,2022-10-10,Monday,90,52,20,40,202,Heavy
18:45:00,2022-10-10,Monday,92,54,21,41,208,Heavy
21:00:00,2022-10-10,Monday,40,15,5,18,78,High
21:15:00,2022-10-10,Monday,38,14,5,17,74,High
21:30:00,2022-10-10,Monday,35,13,4,16,68,Normal
21:45:00,2022-10-10,Monday,32,12,4,15,63,Normal
22:00:00,2022-10-10,Monday,30,10,3,14,57,Normal
22:15:00,2022-10-10,Monday,28,9,3,13,53,Normal
22:30:00,2022-10-10,Monday,25,8,2,12,47,Normal
22:45:00,2022-10-10,Monday,22,7,2,10,41,Low
23:00:00,2022-10-10,Monday,20,6,2,10,38,Low
23:15:00,2022-10-10,Monday,18,5,1,9,33,Low
23:30:00,2022-10-10,Monday,16,4,1,8,29,Low
23:45:00,2022-10-10,Monday,15,3,1,7,26,Low
