Timestamp	Date	Time	Traffic_Volume	Average_Speed_MPH	Congestion_Level
2022-10-01 0:00:00	2022-10-01	0:00:00	134	42.7	Medium
2022-10-01 0:15:00	2022-10-01	0:15:00	125	48.9	Medium
2022-10-01 0:30:00	2022-10-01	0:30:00	137	48.1	Medium
2022-10-01 0:45:00	2022-10-01	0:45:00	150	45.6	Medium
2022-10-01 1:00:00	2022-10-01	1:00:00	101	56.9	Low
2022-10-01 1:15:00	2022-10-01	1:15:00	101	56.9	Low
2022-10-01 1:30:00	2022-10-01	1:30:00	128	49.1	Medium
2022-10-01 1:45:00	2022-10-01	1:45:00	116	46.1	Low
2022-10-01 2:00:00	2022-10-01	2:00:00	75	54.5	Low
2022-10-01 2:15:00	2022-10-01	2:15:00	90	52.7	Low
2022-10-01 2:30:00	2022-10-01	2:30:00	75	54.3	Low
2022-10-01 2:45:00	2022-10-01	2:45:00	75	54.2	Low
2022-10-01 3:00:00	2022-10-01	3:00:00	69	55	Low
2022-10-01 3:15:00	2022-10-01	3:15:00	37	59.5	Low
2022-10-01 3:30:00	2022-10-01	3:30:00	40	58.4	Low
2022-10-01 3:45:00	2022-10-01	3:45:00	57	59	Low
2022-10-01 4:00:00	2022-10-01	4:00:00	44	60.9	Low
2022-10-01 4:15:00	2022-10-01	4:15:00	64	54.8	Low
2022-10-01 4:30:00	2022-10-01	4:30:00	46	63.4	Low
2022-10-01 4:45:00	2022-10-01	4:45:00	38	57.6	Low
2022-10-01 5:00:00	2022-10-01	5:00:00	88	49.9	Low
2022-10-01 5:15:00	2022-10-01	5:15:00	62	58.9	Low
2022-10-01 5:30:00	2022-10-01	5:30:00	67	54.7	Low
2022-10-01 5:45:00	2022-10-01	5:45:00	44	60.8	Low
2022-10-01 6:00:00	2022-10-01	6:00:00	74	49.2	Low
2022-10-01 6:15:00	2022-10-01	6:15:00	84	59.4	Low
2022-10-01 6:30:00	2022-10-01	6:30:00	65	59.4	Low
2022-10-01 6:45:00	2022-10-01	6:45:00	88	50.2	Low
2022-10-01 7:00:00	2022-10-01	7:00:00	95	49.5	Low
2022-10-01 7:15:00	2022-10-01	7:15:00	100	58.4	Low
2022-10-01 7:30:00	2022-10-01	7:30:00	95	51.7	Low
2022-10-01 7:45:00	2022-10-01	7:45:00	132	47.1	Medium
2022-10-01 8:00:00	2022-10-01	8:00:00	127	43.4	Medium
2022-10-01 8:15:00	2022-10-01	8:15:00	111	51	Low
2022-10-01 8:30:00	2022-10-01	8:30:00	139	48.1	Medium
2022-10-01 8:45:00	2022-10-01	8:45:00	109	54.4	Low
2022-10-01 9:00:00	2022-10-01	9:00:00	147	43.7	Medium
2022-10-01 9:15:00	2022-10-01	9:15:00	114	47.1	Low
2022-10-01 9:30:00	2022-10-01	9:30:00	124	51.9	Medium
2022-10-01 9:45:00	2022-10-01	9:45:00	146	51	Medium
2022-10-01 10:00:00	2022-10-01	10:00:00	161	41.5	Medium
2022-10-01 10:15:00	2022-10-01	10:15:00	152	50.5	Medium
2022-10-01 10:30:00	2022-10-01	10:30:00	148	47.8	Medium
2022-10-01 10:45:00	2022-10-01	10:45:00	145	51.4	Medium
2022-10-01 11:00:00	2022-10-01	11:00:00	121	50.7	Medium
2022-10-01 11:15:00	2022-10-01	11:15:00	133	41.9	Medium
2022-10-01 11:30:00	2022-10-01	11:30:00	137	48.6	Medium
2022-10-01 11:45:00	2022-10-01	11:45:00	159	49.6	Medium
2022-10-01 12:00:00	2022-10-01	12:00:00	132	46.9	Medium
2022-10-01 12:15:00	2022-10-01	12:15:00	101	52.1	Low
2022-10-01 12:30:00	2022-10-01	12:30:00	132	49.1	Medium
2022-10-01 12:45:00	2022-10-01	12:45:00	121	42.2	Medium
2022-10-01 13:00:00	2022-10-01	13:00:00	94	59	Low
2022-10-01 13:15:00	2022-10-01	13:15:00	114	49	Low
2022-10-01 13:30:00	2022-10-01	13:30:00	120	52.5	Medium
2022-10-01 13:45:00	2022-10-01	13:45:00	118	51	Low
2022-10-01 14:00:00	2022-10-01	14:00:00	69	60.7	Low
2022-10-01 14:15:00	2022-10-01	14:15:00	77	57.2	Low
2022-10-01 14:30:00	2022-10-01	14:30:00	87	54.1	Low
2022-10-01 14:45:00	2022-10-01	14:45:00	97	51	Low
2022-10-01 15:00:00	2022-10-01	15:00:00	58	60.6	Low
2022-10-01 15:15:00	2022-10-01	15:15:00	63	52	Low
